payment_id,booking_id,amount,payment_method,_ingested_at,_source_file,_is_valid,_ingestion_errors
PAY1018,B1798,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1019,B1875,INVALID,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1024,B1523,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1026,B1120,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1033,B1012,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1060,B1572,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1069,B1578,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1071,B1174,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1077,B1501,INVALID,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1173,B1722,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1184,B1019,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1186,B1132,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1207,B1159,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1213,B1725,INVALID,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1220,B1805,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1244,B1844,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1249,B1816,INVALID,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1256,B1124,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1269,B1660,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1273,B1341,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1283,B1118,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1290,B1605,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1311,B1930,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1323,B1314,INVALID,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1328,B1990,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1344,B1389,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1361,B1702,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1387,B1997,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1392,B1359,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1408,B1146,INVALID,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1428,B1490,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1433,B1225,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1448,B1235,INVALID,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1450,B1227,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1456,B1342,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1460,B1178,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1488,B1763,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1534,B1010,INVALID,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1548,B1896,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1568,B1932,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1576,B1581,INVALID,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1581,B1531,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1590,B1144,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1591,B1568,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1599,B1517,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1615,B1730,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1623,B1111,,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1644,B1521,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1657,B1821,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1664,B1033,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1677,B1756,INVALID,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1683,B1045,INVALID,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1700,B1140,INVALID,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1704,B1446,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1705,B1289,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1710,B1426,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1721,B1254,,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1739,B1443,INVALID,UPI,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1742,B1532,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1748,B1821,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1756,B1699,INVALID,NETBANKING,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
PAY1757,B1056,,CARD,2026-09-05T16:43:04.238441+00:00,UseCase - Airlines.xlsx,False,ERR_INVALID_AMOUNT
